Time_UTC,growth_scenario,baseline_load_mw,dc_load_added_mw,total_load_with_dc_mw
2025-01-01 00:00:00,high,17402.18,383.40000000000146,17785.58
2025-01-01 01:00:00,high,17571.66,383.40000000000146,17955.06
2025-01-01 02:00:00,high,17565.85,383.40000000000146,17949.25
2025-01-01 03:00:00,high,17211.59,383.40000000000146,17594.99
2025-01-01 04:00:00,high,16731.74,383.3999999999978,17115.14
2025-01-01 05:00:00,high,16205.02,383.3999999999978,16588.42
2025-01-01 06:00:00,high,15612.82,383.39999999999964,15996.22
2025-01-01 07:00:00,high,14823.24,383.3899999999994,15206.63
2025-01-01 08:00:00,high,14229.21,383.40000000000146,14612.61
2025-01-01 09:00:00,high,13888.08,383.39999999999964,14271.48
2025-01-01 10:00:00,high,13946.89,383.39000000000124,14330.28
2025-01-01 11:00:00,high,14349.92,383.3899999999994,14733.31
2025-01-01 12:00:00,high,14828.48,383.39000000000124,15211.87
2025-01-01 13:00:00,high,15328.78,383.3899999999994,15712.17
2025-01-01 14:00:00,high,16563.63,383.3899999999994,16947.02
2025-01-01 15:00:00,high,17668.05,383.40000000000146,18051.45
2025-01-01 16:00:00,high,17998.85,383.39000000000306,18382.24
2025-01-01 17:00:00,high,18209.57,383.40000000000146,18592.97
2025-01-01 18:00:00,high,18234.85,383.39000000000306,18618.24
2025-01-01 19:00:00,high,18346.74,383.3899999999994,18730.13
2025-01-01 20:00:00,high,18590.39,383.3899999999994,18973.78
2025-01-01 21:00:00,high,18725.98,383.40000000000146,19109.38
2025-01-01 22:00:00,high,18753.4,383.3899999999994,19136.79
2025-01-01 23:00:00,high,18900.14,383.40000000000146,19283.54
2025-01-02 00:00:00,high,19156.46,383.40000000000146,19539.86
2025-01-02 01:00:00,high,19862.31,383.3999999999978,20245.71
2025-01-02 02:00:00,high,20304.05,383.40000000000146,20687.45
2025-01-02 03:00:00,high,19677.84,383.40000000000146,20061.24
2025-01-02 04:00:00,high,19148.33,383.3999999999978,19531.73
2025-01-02 05:00:00,high,18576.04,383.3999999999978,18959.44
2025-01-02 06:00:00,high,17974.69,383.39000000000306,18358.08
2025-01-02 07:00:00,high,17478.09,383.40000000000146,17861.49
2025-01-02 08:00:00,high,17501.79,383.3999999999978,17885.19
2025-01-02 09:00:00,high,18039.15,383.3899999999994,18422.54
2025-01-02 10:00:00,high,18719.28,383.40000000000146,19102.68
2025-01-02 11:00:00,high,19314.04,383.3999999999978,19697.44
2025-01-02 12:00:00,high,19956.29,383.3899999999994,20339.68
2025-01-02 13:00:00,high,20503.34,383.3899999999994,20886.73
2025-01-02 14:00:00,high,21456.57,383.40000000000146,21839.97
2025-01-02 15:00:00,high,22130.37,383.3899999999994,22513.76
2025-01-02 16:00:00,high,22265.75,383.3899999999994,22649.14
2025-01-02 17:00:00,high,22035.24,383.3999999999978,22418.64
2025-01-02 18:00:00,high,21825.79,383.3899999999994,22209.18
2025-01-02 19:00:00,high,21542.36,383.3899999999994,21925.75
2025-01-02 20:00:00,high,21309.11,383.3899999999994,21692.5
2025-01-02 21:00:00,high,21094.4,383.3999999999978,21477.8
2025-01-02 22:00:00,high,21065.04,383.3999999999978,21448.44
2025-01-02 23:00:00,high,21402.87,383.40000000000146,21786.27
2025-01-03 00:00:00,high,22318.27,383.3899999999994,22701.66
2025-01-03 01:00:00,high,22760.38,383.3999999999978,23143.78
2025-01-03 02:00:00,high,22830.97,383.3999999999978,23214.37
2025-01-03 03:00:00,high,22017.99,383.3999999999978,22401.39
2025-01-03 04:00:00,high,21179.64,383.3899999999994,21563.03
2025-01-03 05:00:00,high,20388.92,383.40000000000146,20772.32
2025-01-03 06:00:00,high,19597.85,383.40000000000146,19981.25
2025-01-03 07:00:00,high,18969.9,383.3899999999994,19353.29
2025-01-03 08:00:00,high,18952.87,383.3899999999994,19336.26
2025-01-03 09:00:00,high,19565.93,383.40000000000146,19949.33
2025-01-03 10:00:00,high,20192.42,383.39000000000306,20575.81
2025-01-03 11:00:00,high,20744.36,383.3899999999994,21127.75
2025-01-03 12:00:00,high,21277.03,383.40000000000146,21660.43
2025-01-03 13:00:00,high,21786.65,383.3899999999994,22170.04
2025-01-03 14:00:00,high,22311.22,383.3999999999978,22694.62
2025-01-03 15:00:00,high,22886.1,383.40000000000146,23269.5
2025-01-03 16:00:00,high,23244.53,383.40000000000146,23627.93
2025-01-03 17:00:00,high,23311.37,383.3899999999994,23694.76
2025-01-03 18:00:00,high,23059.74,383.3899999999994,23443.13
2025-01-03 19:00:00,high,22876.77,383.3899999999994,23260.16
2025-01-03 20:00:00,high,22826.48,383.40000000000146,23209.88
2025-01-03 21:00:00,high,22796.06,383.3999999999978,23179.46
2025-01-03 22:00:00,high,22810.23,383.3899999999994,23193.62
2025-01-03 23:00:00,high,22744.11,383.3999999999978,23127.51
2025-01-04 00:00:00,high,21293.71,383.40000000000146,21677.11
2025-01-04 01:00:00,high,21598.47,383.3899999999994,21981.86
2025-01-04 02:00:00,high,21600.89,383.3899999999994,21984.28
2025-01-04 03:00:00,high,20762.59,383.3899999999994,21145.98
2025-01-04 04:00:00,high,19930.61,383.3999999999978,20314.01
2025-01-04 05:00:00,high,19165.08,383.3899999999994,19548.47
2025-01-04 06:00:00,high,18481.82,383.40000000000146,18865.22
2025-01-04 07:00:00,high,18148.59,383.40000000000146,18531.99
2025-01-04 08:00:00,high,17972.01,383.40000000000146,18355.41
2025-01-04 09:00:00,high,18039.09,383.40000000000146,18422.49
2025-01-04 10:00:00,high,18343.36,383.3999999999978,18726.76
2025-01-04 11:00:00,high,18840.23,383.40000000000146,19223.63
2025-01-04 12:00:00,high,19405.21,383.3899999999994,19788.6
2025-01-04 13:00:00,high,19934.2,383.3899999999994,20317.59
2025-01-04 14:00:00,high,20839.09,383.40000000000146,21222.49
2025-01-04 15:00:00,high,21632.48,383.40000000000146,22015.88
2025-01-04 16:00:00,high,22013.15,383.3999999999978,22396.55
2025-01-04 17:00:00,high,22172.97,383.3899999999994,22556.36
2025-01-04 18:00:00,high,22190.7,383.3899999999994,22574.09
2025-01-04 19:00:00,high,22164.18,383.40000000000146,22547.58
2025-01-04 20:00:00,high,22140.62,383.3899999999994,22524.01
2025-01-04 21:00:00,high,22172.89,383.40000000000146,22556.29
2025-01-04 22:00:00,high,22211.78,383.40000000000146,22595.18
2025-01-04 23:00:00,high,22451.89,383.3899999999994,22835.28
2025-01-05 00:00:00,high,23841.81,383.3999999999978,24225.21
2025-01-05 01:00:00,high,24313.58,383.3999999999978,24696.98
2025-01-05 02:00:00,high,24510.52,383.3999999999978,24893.92
2025-01-05 03:00:00,high,23888.23,383.40000000000146,24271.63
2025-01-05 04:00:00,high,23272.92,383.40000000000146,23656.32
2025-01-05 05:00:00,high,22635.6,383.40000000000146,23019.0
2025-01-05 06:00:00,high,22132.89,383.40000000000146,22516.29
2025-01-05 07:00:00,high,22165.94,383.40000000000146,22549.34
2025-01-05 08:00:00,high,22474.34,383.40000000000146,22857.74
2025-01-05 09:00:00,high,22799.21,383.40000000000146,23182.61
2025-01-05 10:00:00,high,23261.31,383.3899999999994,23644.7
2025-01-05 11:00:00,high,23632.93,383.40000000000146,24016.33
2025-01-05 12:00:00,high,23949.88,383.3999999999978,24333.28
2025-01-05 13:00:00,high,24194.92,383.40000000000146,24578.32
2025-01-05 14:00:00,high,24861.65,383.3899999999994,25245.04
2025-01-05 15:00:00,high,23745.74,383.3999999999978,24129.14
2025-01-05 16:00:00,high,22369.22,383.3999999999978,22752.62
2025-01-05 17:00:00,high,21289.79,383.3999999999978,21673.19
2025-01-05 18:00:00,high,20490.67,383.40000000000146,20874.07
2025-01-05 19:00:00,high,19912.36,383.3999999999978,20295.76
2025-01-05 20:00:00,high,19625.71,383.40000000000146,20009.11
2025-01-05 21:00:00,high,19285.05,383.40000000000146,19668.45
2025-01-05 22:00:00,high,19217.46,383.40000000000146,19600.86
2025-01-05 23:00:00,high,20163.09,383.3899999999994,20546.48
2025-01-06 00:00:00,high,23077.59,383.40000000000146,23460.99
2025-01-06 01:00:00,high,23925.26,383.40000000000146,24308.66
2025-01-06 02:00:00,high,24412.49,383.3999999999978,24795.89
2025-01-06 03:00:00,high,24198.83,383.3899999999994,24582.22
2025-01-06 04:00:00,high,23715.16,383.40000000000146,24098.56
2025-01-06 05:00:00,high,23149.83,383.3999999999978,23533.23
2025-01-06 06:00:00,high,22602.55,383.3899999999994,22985.94
2025-01-06 07:00:00,high,22660.47,383.3999999999978,23043.87
2025-01-06 08:00:00,high,22903.92,383.40000000000146,23287.32
2025-01-06 09:00:00,high,23413.95,383.3999999999978,23797.35
2025-01-06 10:00:00,high,23995.43,383.40000000000146,24378.83
2025-01-06 11:00:00,high,24466.04,383.3999999999978,24849.44
2025-01-06 12:00:00,high,24783.14,383.40000000000146,25166.54
2025-01-06 13:00:00,high,25230.47,383.3999999999978,25613.87
2025-01-06 14:00:00,high,26072.96,383.40000000000146,26456.36
2025-01-06 15:00:00,high,24937.3,383.40000000000146,25320.7
2025-01-06 16:00:00,high,23325.64,383.3899999999994,23709.03
2025-01-06 17:00:00,high,21955.87,383.40000000000146,22339.27
2025-01-06 18:00:00,high,20930.52,383.3999999999978,21313.92
2025-01-06 19:00:00,high,20250.31,383.3899999999994,20633.7
2025-01-06 20:00:00,high,19989.57,383.40000000000146,20372.97
2025-01-06 21:00:00,high,19958.37,383.3899999999994,20341.76
2025-01-06 22:00:00,high,20028.21,383.3899999999994,20411.6
2025-01-06 23:00:00,high,20712.92,383.39000000000306,21096.31
2025-01-07 00:00:00,high,21675.19,383.40000000000146,22058.59
2025-01-07 01:00:00,high,22465.09,383.3899999999994,22848.48
2025-01-07 02:00:00,high,22860.45,383.3899999999994,23243.84
2025-01-07 03:00:00,high,22436.76,383.39000000000306,22820.15
2025-01-07 04:00:00,high,21589.02,383.3999999999978,21972.42
2025-01-07 05:00:00,high,20842.13,383.3999999999978,21225.53
2025-01-07 06:00:00,high,20091.55,383.40000000000146,20474.95
2025-01-07 07:00:00,high,19707.11,383.3999999999978,20090.51
2025-01-07 08:00:00,high,19753.21,383.40000000000146,20136.61
2025-01-07 09:00:00,high,20170.62,383.40000000000146,20554.02
2025-01-07 10:00:00,high,20587.06,383.3899999999994,20970.45
2025-01-07 11:00:00,high,21038.91,383.3899999999994,21422.3
2025-01-07 12:00:00,high,21675.86,383.3999999999978,22059.26
2025-01-07 13:00:00,high,22422.99,383.3999999999978,22806.39
2025-01-07 14:00:00,high,23465.1,383.40000000000146,23848.5
2025-01-07 15:00:00,high,22845.85,383.39000000000306,23229.24
2025-01-07 16:00:00,high,22223.65,383.3999999999978,22607.05
2025-01-07 17:00:00,high,21743.94,383.39000000000306,22127.33
2025-01-07 18:00:00,high,21441.69,383.39000000000306,21825.08
2025-01-07 19:00:00,high,21277.57,383.40000000000146,21660.97
2025-01-07 20:00:00,high,21294.5,383.3899999999994,21677.89
2025-01-07 21:00:00,high,21449.89,383.3899999999994,21833.28
2025-01-07 22:00:00,high,21523.9,383.3899999999994,21907.29
2025-01-07 23:00:00,high,22207.99,383.3999999999978,22591.39
2025-01-08 00:00:00,high,22903.31,383.3999999999978,23286.71
2025-01-08 01:00:00,high,23626.79,383.3899999999994,24010.18
2025-01-08 02:00:00,high,23909.84,383.3899999999994,24293.23
